"","level","stem"
"1852","B1","aufgepasst"
"1854","B1","aufgeraumt"
"1855","B1","aufgeregt"
"1856","B1","aufgeschrieb"
"1857","B1","aufgestand"
"1859","B1","aufgetret"
"1860","B1","aufgewacht"
"1861","B1","aufhalt"
"1862","B1","aufhang"
"1864","B1","aufheb"
"1866","A2","aufhor"
"1869","B1","auflad"
"1870","B1","auflos"
"1871","A2","aufmach"
"1874","B1","aufmerksam"
"1877","B1","aufnahm"
"1879","B1","aufnehm"
"1880","B1","aufpass"
"1882","B1","aufraaum"
"1883","A2","aufraum"
"1885","B1","aufreg"
"1896","B1","aufschreib"
"1897","A2","aufsnuc"
"1898","A1","aufsteh"
"1903","B1","auftrag"
"1905","B1","auftret"
"1906","B1","auftritt"
"1907","B1","aufwach"
"1908","B1","aufwart"
"1910","B1","aufzu"
"1911","A2","aufzug"
"1922","B1","aufzusteh"
"1923","A1","aufzzuuug"
"1924","A2","aug"
"1932","B1","augenblick"
"1936","B1","august"
"1938","A1","aus"
"2147","A2","ausbild"
"2159","B1","ausdruck"
"2164","B1","auseinand"
"2165","B1","ausfahrt"
"2168","B1","ausfall"
"2169","A1","ausflug"
"2181","A1","ausfull"
"2184","A2","ausg"
"2185","B1","ausgab"
"2187","A1","ausgang"
"2192","B1","ausgeb"
"2194","B1","ausgebildet"
"2195","B1","ausgedruckt"
"2196","B1","ausgefall"
"2197","B1","ausgefullt"
"2199","A2","ausgegang"
"2204","B1","ausgegeb"
"2205","B1","ausgeh"
"2206","B1","ausgemacht"
"2209","B1","ausgemess"
"2210","A2","ausgepackt"
"2211","B1","ausgereicht"
"2212","B1","ausgerichtet"
"2213","B1","ausgeruht"
"2215","B1","ausgeschlaf"
"2216","B1","ausgeschloss"
"2218","B1","ausgeseh"
"2220","B1","ausgesproch"
"2221","B1","ausgestellt"
"2223","A2","ausgestieg"
"2224","B1","ausgesucht"
"2225","A2","ausgetrag"
"2226","B1","ausgewahlt"
"2227","B1","ausgezeichnet"
"2228","A2","ausgezog"
"2231","B1","aushilf"
"2232","A1","auskunft"
"2241","A1","ausland"
"2250","B1","auslanderin"
"2251","B1","auslanderinn"
"2255","B1","ausleih"
"2256","A1","ausmach"
"2259","A2","ausn"
"2260","B1","ausnahm"
"2261","A2","auspack"
"2262","B1","ausreich"
"2264","B1","ausricht"
"2265","B1","ausruh"
"2266","A1","aussag"
"2267","B1","ausschliess"
"2269","A2","ausseh"
"2271","B1","auss"
"2280","A2","ausserd"
"2284","A2","ausserhalb"
"2289","B1","aussicht"
"2294","B1","aussieht"
"2295","B1","aussprach"
"2296","B1","aussprech"
"2297","A1","aussteig"
"2308","B1","ausstell"
"2314","B1","aussuch"
"2315","A2","austausch"
"2316","A2","austrag"
"2317","B1","auswahl"
"2320","A1","ausweis"
"2330","B1","auszieh"
"2332","B1","auszumach"
"2333","A1","auto"
"2425","A1","autobahn"
"2437","B1","autofabr"
"2438","B1","autofahr"
"2440","A2","automat"
"2457","B1","automechan"
"2458","B1","automobilmess"
"2459","B1","autor"
"2460","B1","autorin"
"2461","B1","autos"
"2463","B1","autotur"
"2464","B1","auu"
"2465","B1","auuf"
"2475","A2","auus"
"2483","A1","auussag"
"2484","B1","auuuf"
"2485","B1","aydin"
"2486","A2","baa"
"2487","A1","baby"
"2499","A2","babysitt"
"2501","A2","bachstrass"
"2502","B1","back"
"2512","B1","backerei"
"2516","A1","backerel"
"2517","B1","backform"
"2518","A2","backt"
"2522","A1","bad"
"2546","B1","badet"
"2548","B1","badewann"
"2550","B1","badezimm"
"2552","A1","bahn"
"2573","A1","bahnhof"
"2620","B1","bahnhofsrestaurant"
"2621","A1","bahnhofstrass"
"2624","A1","bahnsteig"
"2635","A1","bald"
"2656","A1","balkon"
"2665","A2","ball"
"2673","B1","ballett"
"2674","A2","banan"
"2681","B1","bancomat"
"2682","A2","band"
"2683","A1","bank"
"2705","B1","bankkonto"
"2706","B1","bankleitzahl"
"2707","B1","bankomat"
"2712","A1","bar"
"2723","A2","barg"
"2724","B1","bargeld"
"2725","B1","bart"
"2727","A2","basel"
"2728","A2","basketball"
"2732","A2","bast"
"2734","B1","bastelmateriali"
"2735","B1","basteln"
"2738","B1","bastelt"
"2740","B1","bat"
"2741","B1","batteri"
"2743","B1","bau"
"2744","A1","bauch"
"2748","A2","bauchschmerz"
"2756","B1","bauernhof"
"2757","B1","bauingenieur"
"2758","A1","baum"
"2772","A2","baustel"
"2773","A2","baustell"
"2778","B1","baustellenbereich"
"2779","B1","baustil"
"2780","B1","baut"
"2783","B1","bay"
"2784","A2","bdbietet"
"2785","B1","beacht"
"2790","B1","beachtet"
"2792","B1","beamt"
"2793","B1","beamtin"
"2795","B1","beant"
"2796","B1","beantrag"
"2797","B1","beantragt"
"2800","A2","beantwort"
"2803","A2","beantwortet"
"2808","B1","bearbeit"
"2809","A2","bearundet"
"2810","A2","beau"
"2811","A2","beck"
"2812","A2","bedank"
"2815","A2","bedankt"
"2819","B1","bedarf"
"2820","A2","bedeut"
"2822","A2","bedeutet"
"2834","B1","bedi"
"2835","B1","bedient"
"2839","B1","bedienungsanleit"
"2840","B1","beding"
"2843","A2","beduc"
"2844","A2","beeil"
"2854","A2","beeilt"
"2859","B1","beeinfluss"
"2860","B1","beeinflusst"
"2863","A2","beend"
"2866","A2","beendet"
"2870","B1","befand"
"2871","B1","befind"
"2872","B1","befindet"
"2876","B1","befreit"
"2877","B1","befried"
"2878","B1","befund"
"2879","B1","begann"
"2880","B1","begegn"
"2881","B1","begegnet"
"2884","B1","begeistert"
"2886","B1","beginn"
"2892","A1","beginnt"
"2908","B1","begleit"
"2910","B1","begleitet"
"2912","A2","begmnt"
"2913","B1","begonn"
"2914","B1","begrenzt"
"2915","A2","begrund"
"2919","B1","begrundet"
"2923","B1","begruss"
"2924","B1","begrusst"
"2929","B1","behalt"
"2932","B1","behandeln"
"2933","B1","behandelt"
"2936","B1","behandl"
"2937","B1","behaupt"
"2938","B1","behauptet"
"2941","B1","behielt"
"2942","B1","behind"
"2943","B1","behindert"
"2947","B1","behord"
"2948","A1","bei"
"3112","B1","beid"
"3134","A2","beim"
"3167","A1","bein"
"3179","B1","beinah"
"3180","A2","beispi"
"3181","A1","beispiel"
"3188","B1","beispielsweis"
"3189","B1","beiss"
"3190","B1","beisst"
"3191","B1","beit"
"3192","B1","beitrag"
"3194","B1","bekam"
"3195","A1","bekannt"
"3217","A2","bekomm"
"3317","A1","bekommt"
"3339","B1","bel"
"3341","B1","beleg"
"3342","B1","belegt"
"3343","B1","beleid"
"3344","B1","beleidigt"
"3347","A2","beliebt"
"3350","A2","bella"
"3351","B1","bemerk"
"3352","B1","bemerkt"
"3355","B1","bemuh"
"3356","B1","bemuht"
"3359","B1","benot"
"3360","B1","benotigt"
"3362","A1","benutz"
"3375","A2","benutzt"
"3379","B1","benzin"
"3382","B1","benzinpreis"
"3383","B1","beobacht"
"3384","B1","beobachtet"
"3387","A2","bequ"
"3391","B1","bequem"
"3394","A2","ber"
"3395","A2","berat"
"3404","B1","berechn"
"3405","B1","berechnet"
"3408","B1","bereich"
"3409","B1","bereit"
"3413","B1","bereitet"
"3419","B1","berg"
"3435","A1","berghaus"
"3436","B1","bericht"
"3442","B1","berichtet"
"3448","B1","beriet"
"3449","A1","berlin"
"3487","A1","beruf"
"3508","B1","berufstat"
"3510","B1","beruh"
"3512","B1","beruhigt"
"3514","B1","beruhmt"
"3518","B1","beruhrt"
"3519","B1","besass"
"3520","A2","bescha"
"3521","B1","beschad"
"3522","B1","beschadigt"
"3525","B1","beschaft"
"3526","B1","beschaftigt"
"3531","A2","bescheid"
"3545","B1","beschliess"
"3546","B1","beschliesst"
"3547","B1","beschloss"
"3550","B1","beschrank"
"3551","B1","beschrankt"
"3553","A2","beschreib"
"3557","B1","beschreibt"
"3560","B1","beschrieb"
"3562","A2","beschw"
"3566","A2","beschwert"
"3572","B1","besess"
"3573","B1","besetz"
"3574","A1","besetzt"
"3588","A1","besicht"
"3594","A2","besichtigt"
"3601","B1","besitz"
"3602","B1","besitzt"
"3605","B1","besond"
"3626","B1","besorg"
"3629","B1","besorgt"
"3631","B1","besprach"
"3632","B1","besprech"
"3635","B1","bespricht"
"3636","B1","besproch"
"3637","A1","bess"
"3658","B1","besser"
"3659","A1","best"
"3660","B1","bestand"
"3668","A2","bestati"
"3669","A2","bestat"
"3674","B1","bestatigt"
"3682","B1","besteh"
"3683","A2","besteht"
"3687","A1","bestell"
"3698","A2","bestellt"
"3723","B1","bestimmt"
"3730","B1","bestraf"
"3731","B1","bestraft"
"3735","A2","bestucczjht"
"3736","A2","besuch"
"3770","A2","besucht"
"3777","B1","beteil"
"3778","B1","beteiligt"
"3780","B1","betrag"
"3782","B1","betragt"
"3783","B1","betret"
"3784","B1","betreu"
"3786","B1","betreuerin"
"3787","B1","betreut"
"3791","B1","betreverin"
"3792","B1","betrieb"
"3799","B1","betriebsrat"
"3800","B1","betriebsratin"
"3801","B1","betriebssyst"
"3802","B1","betrog"
"3804","B1","betrug"
"3805","B1","betrugt"
"3806","B1","betrunk"
"3807","A1","bett"
"3826","A2","béuch"
"3827","B1","bevolker"
"3828","B1","bevor"
"3831","B1","bewarb"
"3832","B1","beweg"
"3835","B1","bewegt"
"3838","B1","beweis"
"3841","B1","beweist"
"3842","A2","bewerb"
"3850","B1","bewi"
"3851","B1","bewies"
"3852","B1","bewirbt"
"3853","B1","bewohn"
"3854","B1","bewohnerin"
"3855","B1","bewolkt"
"3857","B1","beworb"
"3861","B1","bewund"
"3862","A2","bezah"
"3863","A1","bezahl"
"3879","A2","bezahlt"
"3887","B1","bezieh"
"3889","A2","bgrf"
"3890","A2","bibliothek"
"3896","B1","biegt"
"3897","A1","bier"
"3918","B1","biert"
"3919","B1","biet"
"3920","B1","bietet"
"3924","A2","biio"
"3925","A1","bild"
"3943","B1","bildschirm"
"3946","B1","billet"
"3947","B1","billett"
"3949","A1","billig"
"3962","A1","bin"
"4132","B1","bio"
"4133","B1","bioabfall"
"4134","B1","biogemus"
"4135","B1","biologi"
"4136","B1","biolog"
"4137","A2","birn"
"4141","A1","bis"
"4222","B1","bish"
"4223","B1","biss"
"4224","A1","bissch"
"4242","A1","bist"
"4294","B1","bistro"
"4295","B1","bit"
"4296","A1","bitt"
"4829","B1","bittet"
"4830","B1","bjoorn"
"4831","B1","blass"
"4832","A2","blatt"
"4839","A2","blau"
"4845","A2","bleib"
"4877","B1","bleibt"
"4884","A1","bleistift"
"4894","A2","blg"
"4895","A1","blick"
"4899","B1","blieb"
"4900","B1","blind"
"4901","B1","blitz"
"4905","B1","blitzt"
"4907","A2","blod"
"4908","A2","blog"
"4909","A2","blond"
"4913","B1","bloss"
"4915","B1","bluh"
"4916","B1","bluht"
"4918","B1","blum"
"4929","A2","blus"
"4951","B1","blut"
"4953","B1","blutet"
"4955","B1","bod"
"4960","B1","bodense"
"4961","B1","bog"
"4963","B1","bohn"
"4967","A2","bond"
"4968","A2","book"
"4970","B1","boos"
"4971","B1","boot"
"4973","B1","bord"
"4974","A1","bos"
"4982","B1","bot"
"4983","B1","botschaft"
"4984","B1","brach"
"4985","B1","bracht"
"4986","B1","brandn"
"4987","B1","brannt"
"4988","A2","brasili"
"4993","A2","brat"
"5001","A2","bratwurst"
"5002","A2","brauch"
"5079","A2","braucht"
"5094","B1","brech"
"5095","A1","breit"
"5105","A2","brem"
"5106","B1","brems"
"5111","B1","brenn"
"5112","B1","brennt"
"5113","B1","bricht"
"5114","A1","brief"
"5154","B1","briefkast"
"5159","A2","briefmark"
"5172","B1","brieftasch"
"5176","B1","brieftrag"
"5178","B1","brieftragerin"
"5179","B1","briefumschlag"
"5182","B1","briet"
"5183","A2","brill"
"5199","A2","bring"
"5236","B1","bringt"
"5239","B1","broschur"
"5240","A1","brot"
"5256","A1","brotch"
"5271","B1","brotli"
"5274","A2","bruck"
"5277","A2","brud"
"5311","B1","brunn"
"5312","B1","brust"
"5313","A2","bsp"
"5314","A2","btly"
"5315","B1","bub"
"5317","A1","buch"
"5359","B1","buchdruck"
"5375","B1","buchhandl"
"5376","A1","buchlad"
"5377","A2","buchmess"
"5378","B1","buchs"
"5380","B1","buchsta"
"5381","A2","buchstab"
"5387","A1","buchstabi"
"5392","B1","buchstabiert"
"5394","A2","buchstablert"
"5395","B1","bucht"
"5397","B1","bud"
"5398","B1","buffet"
"5399","B1","buhn"
"5400","A2","bul"
"5401","B1","bundeskanzlerin"
"5402","A2","bunt"
"5406","B1","burg"
"5408","B1","burgerin"
"5409","B1","burgerinn"
"5410","A2","buro"
"5434","B1","buros"
"5435","B1","burst"
"5437","A1","bus"
"5472","B1","busbahnhof"
"5473","B1","busfahr"
"5474","B1","busfahrerin"
"5475","A1","butt"
"5484","A2","buttercrem"
"5485","B1","buuro"
"5486","A1","caf"
"5498","A2","cafeteria"
"5502","B1","camping"
"5503","B1","campingplatz"
"5504","A2","carag"
"5505","B1","card"
"5507","B1","carola"
"5508","A2","cas"
"5509","A2","caterina"
"5510","A2","cbl"
"5511","B1","cchhau"
"5512","B1","cds"
"5513","A2","cecn"
"5514","A2","ceficht"
"5515","A2","ceh"
"5516","A1","celsius"
"5517","B1","cent"
"5518","A2","cepack"
"5519","B1","cgregor"
"5520","A2","chalt"
"5521","B1","chanc"
"5523","A2","charlott"
"5524","A2","chatt"
"5525","A2","chattet"
"5526","A2","chauf"
"5527","A2","chef"
"5538","A2","chefin"
"5542","B1","chen"
"5543","A2","chet"
"5544","B1","chic"
"5545","B1","chick"
"5546","A1","chiemse"
"5547","A2","china"
"5550","B1","chines"
"5551","B1","chipkart"
"5552","A2","chmeckt"
"5553","A2","christina"
"5554","B1","christin"
"5555","A2","chtist"
"5556","A2","cin"
"5557","A1","circa"
"5559","A2","claudia"
"5562","A2","club"
"5564","A2","cna"
"5565","B1","coiffeur"
"5567","B1","coiffeus"
"5568","B1","cola"
"5570","A2","comic"
"5571","A2","comics"
"5572","A1","comput"
"5593","B1","computerfachfrau"
"5594","A2","computerkenntnis"
"5595","B1","computerkur"
"5598","B1","computerprogramm"
"5599","B1","computerraum"
"5600","B1","computerspezialist"
"5601","A2","conchi"
"5603","B1","cou"
"5604","B1","couch"
"5605","B1","cousin"
"5608","B1","couvert"
"5610","A2","crem"
"5617","A2","cthph"
"5618","A2","ctift"
"5619","B1","daar"
"5620","A2","daba"
"5621","A2","dabei"
"5635","A2","dabel"
"5642","B1","dach"
"5644","B1","dacht"
"5647","A2","dafur"
"5664","A2","dageg"
"5674","B1","dah"
"5676","B1","dahin"
"5677","A2","damal"
"5680","A2","dam"
"5690","A2","damit"
"5698","B1","danach"
"5700","A2","dan"
"5701","A1","daneb"
"5706","A2","dang"
"5707","A1","dank"
"5731","B1","dankbar"
"5779","B1","dankt"
"5781","A1","dann"
"5820","B1","dapfel"
"5821","B1","dar"
"5822","B1","daran"
"5829","B1","darauf"
"5834","A1","darf"
"5901","B1","dargestellt"
"5902","A2","darguf"
"5903","B1","darmstadt"
"5904","B1","darstell"
"5906","A2","darub"
"5913","B1","darum"
"5914","A1","das"
"7340","A2","dass"
"7442","B1","dasselb"
"7444","B1","dassiv"
"7445","A2","dast"
"7446","A2","datei"
"7460","A2","datel"
"7461","B1","dat"
"7466","A1","datum"
"7476","B1","dau"
"7479","B1","dauernd"
"7481","A2","dauert"
"7493","B1","dauvuert"
"7494","B1","dav"
"7495","A2","davert"
"7500","B1","davon"
"7502","B1","davu"
"7504","B1","davuert"
"7505","B1","dazu"
"7510","B1","dbitt"
"7511","A2","ddas"
"7512","A2","ddemi"
"7513","B1","deck"
"7515","A1","dein"
"7614","A2","dekomm"
"7615","B1","dekori"
"7616","B1","dekoriert"
"7618","A1","dem"
"7810","A1","den"
"8184","B1","denk"
"8196","B1","denkmal"
"8199","B1","denkt"
"8202","A1","denn"
"8232","B1","dennis"
"8233","A1","der"
"9895","A2","deremgang"
"9897","B1","derselb"
"9898","B1","dert"
"9899","A2","deruhmt"
"9900","A1","des"
"9926","A2","deshalb"
"9936","B1","dessert"
"9939","B1","desto"
"9940","B1","desweg"
"9941","B1","det"
"9942","B1","detail"
"9944","A2","deutlich"
"9948","A1","deutsch"
"9985","B1","deutschkenntnis"
"9986","A1","deutschkur"
"9996","A2","deutschland"
"10014","A1","deutschlehrerin"
"10015","B1","deutschlern"
"10016","A2","deutschub"
"10017","A2","dgr"
"10018","B1","dialekt"
"10019","B1","dialog"
"10020","B1","diat"
"10021","A1","dich"
"10089","B1","dicht"
"10090","B1","dick"
"10093","A1","die"
"12384","B1","dieb"
"12386","A2","diek"
"12387","B1","dien"
"12389","A2","dienstag"
"12395","B1","dient"
"12397","A2","dies"
"12500","B1","diese"
"12501","B1","dieselb"
"12775","B1","diesmal"
"12778","B1","dietmar"
"12779","B1","digital"
"12780","B1","digitaluhr"
"12781","A2","dina"
"12782","A2","ding"
"12788","B1","diplom"
"12789","A1","dir"
"12905","A2","direkt"
"12933","B1","direktor"
"12934","B1","direktorin"
"12935","B1","dis"
"12936","A1","disco"
"12939","A2","disko"
"12944","B1","diskothek"
"12945","B1","diskussion"
"12950","B1","diskuti"
"12954","A2","diskutiert"
"12959","A2","dissch"
"12960","B1","distanz"
"12962","A2","ditt"
"12963","A2","dium"
"12964","A2","dıe"
"12965","A2","dje"
"12966","B1","dlass"
"12967","A2","dle"
"12968","A2","dles"
"12969","A1","doch"
"13031","A1","doktor"
"13038","B1","doktorin"
"13039","B1","dokument"
"13042","B1","dollar"
"13043","A1","dom"
"13044","B1","donau"
"13045","B1","donn"
"13047","B1","donnerstag"
"13049","B1","donnert"
"13051","B1","doppel"
"13052","B1","doppelbett"
"13053","B1","doppelklick"
"13054","B1","doppelt"
"13055","A1","doppelzimm"
"13061","B1","dopular"
"13062","A1","dorf"
"13073","A1","dort"
"13099","A2","dorth"
"13100","A2","dorthin"
"13104","B1","dortmund"
"13105","B1","dos"
"13109","B1","dositiv"
"13110","B1","dpark"
"13111","B1","dparki"
"13112","B1","dparkiert"
"13113","A2","dra"
"13114","B1","dran"
"13115","A1","drauss"
"13135","B1","dreck"
"13138","B1","dreh"
"13141","B1","dreht"
"13144","A1","drei"
"13194","B1","dreijahr"
"13195","B1","dreimal"
"13200","A1","dreissig"
"13201","A2","dreiundzwanz"
"13202","B1","dreizimmerwohn"
"13203","A2","dresd"
"13204","B1","drin"
"13205","A2","dringend"
"13211","A2","drinn"
"13216","A2","dritt"
"13222","B1","drog"
"13224","B1","drogeri"
"13225","A2","drub"
"13233","B1","druck"
"13261","B1","druckt"
"13266","A2","dser"
"13267","A2","duc"
"13268","A2","duchstablert"
"13269","A2","duk"
"13270","A2","dumm"
"13277","B1","dung"
"13278","A2","dunk"
"13279","A2","dunkel"
"13285","B1","dunkelblau"
"13286","B1","dunkeln"
"13287","B1","dunkl"
"13288","A2","dunn"
"13294","A1","durch"
"13319","B1","durcheinand"
"13321","A1","durchsag"
"13326","B1","durchschnitt"
"13330","A1","durf"
"13358","B1","durft"
"13359","A1","durst"
"13365","B1","durstig"
"13366","A2","dus"
"13367","A1","dusch"
"13382","B1","duscht"
"13384","B1","duu"
"13387","B1","duz"
"13388","B1","duziert"
"13389","B1","duzt"
"13391","A2","eaieel"
"13392","A2","eajrggerg"
"13393","A2","eanrr"
"13394","A2","eba"
"13395","B1","eben"
"13400","B1","ebenfall"
"13401","B1","ebenso"
"13402","A2","ebor"
"13403","A2","eburtstag"
"13404","A2","echt"
"13409","B1","eck"
"13433","B1","eckig"
"13435","B1","eden"
"13436","A2","eeitt"
"13437","A2","een"
"13438","A2","eencpt"
"13439","A2","éetrsteht"
"13440","A2","egal"
"13447","A2","eglaubt"
"13448","A2","egrund"
"13449","A2","egt"
"13450","A1","ehe"
"13454","A2","ehefrau"
"13458","A2","ehemann"
"13461","A2","ehen"
"13462","B1","ehepaar"
"13463","A2","ehepartn"
"13464","B1","eher"
"13466","A2","ehor"
"13467","A2","ehort"
"13468","B1","ehrlich"
"13471","A2","ehtan"
"13472","A2","eib"
"13473","A2","eichy"
"13474","B1","eig"
"13482","A2","eigent"
"13488","B1","eign"
"13489","B1","eignet"
"13491","B1","eil"
"13494","A1","eilig"
"13499","B1","eilt"
"13501","A1","ein"
"14067","B1","einatm"
"14068","B1","einbahnstrass"
"14069","B1","einbrech"
"14074","B1","einbrecherin"
"14075","B1","einbruch"
"14076","B1","eindeut"
"14078","B1","eindruck"
"14923","B1","einerseit"
"14925","A1","einfach"
"14946","B1","einfahrt"
"14949","B1","einfall"
"14952","B1","einfluss"
"14953","B1","einfug"
"14954","B1","einfuhr"
"14956","A1","eingang"
